text,top_terms,sgrank_idf,sgrank
"Dans le domaine du dispositif médical la plupart des produits sont inscrits dès le début de leur prise en charge en France sous une ligne regroupant -sous un seul et même tarif- l'ensemble des dispositifs présentant des spécifications techniques minimales communes. Au fil des années, les produits sur ces lignes de remboursement évoluent rapidement (tous les 2 ou 3 ans) au gré des innovations introduites par les entreprises et, sous une apparente ancienneté d'inscription, les produits utilisés sont en réalité récents. Ainsi le critère d'ancienneté de l'inscription des produits en vue de baisser les prix/tarifs de ces produits n'est ni pertinent, ni juste ni vertueux. Il présente un biais inconciliable avec la réalité d'évolution graduelle/incrémentale de ces produits. Le présent amendement propose donc d'aménager ce critère en supprimant les mots « de l'inscription ». Au 1° du II de l'article L. 165‑2 du code de la sécurité sociale, les mots : « de l'inscription » sont supprimés.","inscription
produits
critère
réalité
Au fil","spécifications techniques minimales communes
produits
réalité récents
présent amendement propose
dispositif médical","produits
spécifications techniques minimales communes
dispositif médical
inscription
innovations introduites"
"L'accès aux soins ophtalmologiques est particulièrement difficile du fait d'une baisse relative du nombre des ophtalmologistes, du vieillissement de la population, de l'augmentation de la prévalence de certaines pathologies chroniques. Il en résulte d'importantes difficultés d'accès et la nécessité d'accroître l'offre de soins au sein des cabinets d'ophtalmologie. Une des façons d'y arriver est l'embauche d'orthoptistes qui peuvent seconder l'ophtalmologiste en consultation et dans la réalisation d'examens complémentaires, libérant ainsi en moyenne 30 % de temps médical supplémentaire pour voir plus de patients et favoriser l'installation de plages de rendez-vous à délais courts. Ce mode de fonctionnement progresse vite dans les cabinets d'ophtalmologie, mais l'urgence nécessite que tous les moyens soient mis en place pour accélérer ce processus en faisant bénéficier les infirmiers des modalités du contrat de coopération pour les soins visuels prévu à l'article L162‑12‑22 et créé par l'article 67 de la LFSS 2016 pour les médecins conventionnés spécialisés en ophtalmologie. En effet, les orthoptistes sont plus mal répartis sur le territoire que les ophtalmologistes et il est très difficile d'en trouver à embaucher en dehors des grandes villes. Or, c'est bien en dehors des villes principales que se situent aujourd'hui les délais les plus longs de RDV en ophtalmologie, comme l'a montré une étude récente de la DREES (octobre 2018, n°1085). Aujourd'hui, 12 % des ophtalmologistes libéraux travaillent avec des infirmiers salariés d'après une enquête de début 2018 du Syndicat des Ophtalmologistes (SNOF). L'expérience montre qu'il est relativement aisé de recruter des infirmiers dans ces zones pénuriques en orthoptistes, les instituts de formation infirmier étant nombreux et bien répartis sur le territoire. Ce statut d'assistant en cabinet d'ophtalmologie est attrayant pour les infirmiers du fait de la variété de l'exercice (consultations, examens complémentaires, bloc opératoire) et des horaires en général fixes. Leur décret d'actes et de compétences leur permet de seconder le médecin dans de nombreuses situations et les congrès d'ophtalmologie leur ouvrent de plus en plus leurs portes. Le premier alinéa du I de l'article L. 162‑12‑22 du code de la sécurité sociale est complété par les mots : « ou un infirmier ».","ophtalmologie
infirmiers
ophtalmologistes
orthoptistes
villes","examens complémentaires
soins
ophtalmologie
ophtalmologistes
difficile","examens complémentaires
soins
ophtalmologie
ophtalmologistes
difficile"
"L'article 42 a pour objet de définir le périmètre légal des autorisations temporaires d'utilisation de médicament. Le présent amendement concerne l'utilisation des médicaments bénéficiant d'une ATU dans les établissements de santé. Il propose, pour que ne soit exclu aucun des patients dont le médicament est susceptible de représenter une dernière chance ou un traitement vital, que l'ATU bénéficie aux établissements dont l'autorisation d'activité est en lien avec la pathologie traitée par ce médicament, ou qu'il dispose d'une pharmacie à usage intérieur. À l'alinéa 28, substituer aux mots : « certains établissements de santé mentionnés à l'article L. 162‑22‑6 » les mots : « les établissements de santé mentionnés à l'article L. 162‑22‑6, détenteurs d'une autorisation d'activité pouvant donner lieu à l'utilisation desdites spécialités pharmaceutiques ».","médicament
utilisation
ATU
L. 162‑22‑6
établissements","présent amendement concerne
activité pouvant donner lieu
santé mentionnés
article L.
utilisation","article L.
traitement vital
usage intérieur
présent amendement
utilisation"
"L'article 34 vise à faciliter l'accès aux droits et lutter contre le non recours aux dispositifs d'aide à la couverture complémentaire santé. Sont concernés les personnes aux revenus modestes, et la majoration forfaitaire envisagée en cas de non-paiement de la contribution financière est superflue aggravant de fait la précarisation de ces personnes alors dans l'incapacité de régler cette majoration en plus des mensualités. Ils perdraient du même coup l'accès à une complémentaire santé, à revers de la logique gouvernementale de lutte contre le non-recours. Il est donc proposé de remplacer cette majoration par le paiement des participations échues. Tel est l'objet du présent amendement. I. – À la fin de l'alinéa 42, supprimer les mots : « , affecté d'une majoration forfaitaire de retard ». II. – En conséquence, après le mot : « conséquence », rédiger ainsi la fin de l'alinéa 43 : « la réouverture du droit à la protection complémentaire et ce, de façon rétroactive à compter de la date de notification de la suspension du droit. ». III. – En conséquence, supprimer les alinéas 44 et 45. IV. – Compléter cet article par l'alinéa suivant : « IX. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par l'augmentation du prélèvement mentionné à l'article L. 137‑22 du code de la sécurité sociale ».","majoration
conséquence
précarisation
L. 137‑22 du code de la sécurité sociale
participations","majoration forfaitaire envisagée
personnes aux revenus
couverture complémentaire santé
article
majoration forfaitaire","couverture complémentaire santé
majoration forfaitaire
complémentaire santé
article
contribution financière"
"Avec un reste à charge estimé à 22 milliards d'euros par an, la France n'atteint pas l'objectif d'une santé accessible pour toutes et tous. Le reste à charge reste très important, tandis que l'accès à des mutuelles de qualité n'est pas possible pour toutes et tous. Près d'un Français sur trois a renoncé à se faire soigner au cours des 12 derniers mois, dans la moitié des cas (51 %) en raison d'un reste à charge (après remboursements) trop élevé, selon un sondage publié au début du mois d'octobre. Une difficulté clairement située socialement : 41 % des ouvriers sont concernés, contre 19 % des cadres. Il est grand temps de mettre fin à cette inégalité en redéployant l'assurance-maladie : les députés membres du groupe La France Insoumise sont favorables à une assurance-maladie universelle et intégrale. Le droit pour chacun d'accéder aux soins dont il a besoin est inscrit au préambule de la Constitution et réaffirmé dans l'article L. 1110‑1 du Code de la Santé publique. Alors que le gouvernement a tenu à fêter les 60 ans de la Constitution, les députés membres du groupe La France Insoumise souhaitent faire respecter ce droit constitutionnel. C'est pour cette raison qu'ils proposent d'envisager la mise en place du « 100 % sécu ». La Sécurité sociale prendrait ainsi en charge tout le coût des soins, parts des complémentaires et reste à charge compris. La socialisation des complémentaires permettrait d'amortir le coût de cette réforme en transférant à la Sécurité sociale la part des cotisations aux complémentaires des salariés. Cette réforme permettrait aussi des économies importantes en matière de gestion administrative et de niches fiscales, lesquelles permettraient de financer le tiers de la reprise du reste à charge actuel. Le Gouvernement remet au Parlement, dans les six mois suivant la promulgation de la présente loi, un rapport estimant le coût pour les finances sociales de la socialisation des complémentaires et du financement par la sécurité sociale du reste à charge, ainsi que ses effets sur les inégalités de santé.","charge
complémentaires
socialisation
députés membres
France Insoumise","Sécurité sociale
charge
France Insoumise
députés membres
mois","charge
France Insoumise
députés membres
Sécurité sociale
charge actuel"
"Par respect du principe de transparence, il est demandé aux ARS de justifier de l'utilisation des financements publics devant le Parlement et les citoyens. Cet amendement vise donc à inclure dans le bilan annuel de suivi de l'utilisation des dotations affectées au fond d'intervention régional, une évaluation nationale de l'impact de la répartition des financements sur la situation sanitaire, en tenant compte de l'effet produit sur les besoins recensés dans les territoires. À la dernière phrase du dernier alinéa de l'article L. 1435-10 du code de la santé publique, après le mots : « notamment » sont insérés les mots : « une évaluation nationale de la répartition des crédits et de leur impact sur les situations sanitaires régionales ».","financements
répartition
utilisation
évaluation
impact","dotations affectées au fond
évaluation nationale
situation sanitaire
besoins recensés
dernière phrase","évaluation nationale
situation sanitaire
dernière phrase
article L.
santé publique"
"Actuellement les établissements publics de santé ne peuvent pas, contrairement aux collectivités locales, accélérer la sécurisation de leur dette : ils ne bénéficient pas de conditions dérogatoires à l'application du taux d'usure, lors des opérations de désensibilisation des emprunts structurés conduites avec les établissements bancaires. Cet amendement vise à transposer pour les établissements publics de santé (EPS) une disposition législative introduite par la loi de finances n°2013‑1278 du 29 décembre 2015 pour 2016, pour les collectivités territoriales leur permettant de faciliter le processus de sécurisation de certains types d'emprunts toxiques auprès des opérateurs bancaires. Les EPS ayant des encours sensibles peuvent convertir ceux – ci en un prêt à taux fixe. Pour cela l'établissement doit rembourser le capital dû, augmenté d'une Indemnité de Remboursement Anticipé (IRA). L'amendement proposé vise à permettre aux EPS de ne pas refinancer l'IRA intégralement par ré-endettement mais d'intégrer tout ou partie de celle-ci (le surcoût) dans un taux d'intérêt majoré. Pour cela, il faut explicitement permettre aux EPS de déroger au plafond découlant du taux d'usure actuellement en vigueur, en fixant un taux d'intérêt maximal applicable. Cette disposition permet aux EPS de désensibiliser la part de leurs emprunts structurés qui n'a pas été éligible au fonds de soutien à la désensibilisation, tout en limitant le niveau d'endettement nécessaire associé à cette désensibilisation. Elle évite ainsi une dégradation de leur situation financière associée à une possible remontée des taux. La sécurisation de ces emprunts est de nature à limiter l'accroissement du taux d'endettement de ces EPS, diminuant ainsi le montant des aides exceptionnelles financées dans l'ONDAM. A titre d'illustration, les collectivités territoriales ont entrepris depuis cette mesure, la désensibilisation d'environ 1/3 de leurs emprunts toxiques. Après le II de l'article L. 6145‑16‑1 du code de la santé publique, il est inséré un II bis ainsi rédigé : « II bis. – Le taux maximal applicable aux nouveaux emprunts consentis dans le cadre d'une sécurisation des emprunts structurés détenus par les établissements publics de santé, est égal au taux de rendement de l'obligation assimilable du Trésor de maturité la plus proche de la durée de vie moyenne initiale de l'emprunt structuré faisant l'objet de la renégociation, constaté à la date à laquelle celui-ci a été initialement consenti, majoré de 150 points de base. « Les catégories d'emprunts structurés concernés sont arrêtés par les ministres de la santé, de l'économie et du budget. »","emprunts
EPS
désensibilisation
taux
sécurisation","établissements publics
emprunts structurés
collectivités territoriales
emprunts toxiques
taux","établissements publics
emprunts structurés
collectivités territoriales
emprunts toxiques
taux"
"Pendant plus de 50 ans, notre politique familiale a reposé sur le principe de l'universalité. Cela signifie qu'elle s'adressait à tous les Français, sans aucune distinction d'origine, sans aucune distinction sociale. Elle reposait par conséquent sur l'idée que chaque enfant est une chance et une richesse pour la France, pour son avenir, pour notre avenir, et ce quelles que soient les ressources dont disposent ses parents. Or, ce consensus a été mis à mal dès 2011, notamment à travers la modulation des allocations familiales en fonction des ressources, ainsi que les deux baisses successives du quotient familial. Cependant, il apparaît primordial de revenir sur les erreurs faites depuis 7 ans, qui ont abîmé notre politique familiale en confondant politique sociale et politique familiale. Nous souhaitons donc, à travers ce rapport, évaluer notamment par un rétablissement progressif du quotient familial, et par la réaffirmation du caractère universel de notre politique familial, avec la suppression de la modulation des allocations familiales en fonction des ressources. Depuis le début du quinquennat, la ministre des Solidarités et de la Santé a présenté des priorités fortes en matière de politique familiale. Cependant, à ce stade, peu de choses concrètes sont ressorties de nos travaux. Ainsi, notre groupe souhaite s'investir sur ces questions à travers la commission des affaires sociales et en partenariat avec le ministère des solidarités et de la Santé. Le Gouvernement remet au Parlement, avant le 31 décembre 2019, un rapport présentant une évaluation de la politique familiale française, son impact sur la natalité et étudiant ses possibles évolutions. Il étudie notamment la possibilité de revenir sur la modulation des allocations familiales en fonction des ressources.","politique
ressources
travers
modulation
allocations","politique familiale
allocations familiales
distinction sociale
politique sociale
confondant politique","politique familiale
allocations familiales
distinction sociale
politique sociale
baisses successives"
"Le présent amendement vise à supprimer toutes les dispositions de cet article relatives à la création des médicaments hybrides. La création de cette nouvelle catégorie de médicaments constitue une évolution majeure du droit de substitution sur laquelle le gouvernement n'a consulté ni les professionnels de santé, ni les patients, ni les industriels de santé. Le développement du générique est une nécessité pour les comptes de l'Assurance Maladie solidaire et est unanimement acceptée, grâce aux garanties qu'elle présente pour la sécurité des patients et la santé publique. Tel est loin d'être le cas avec la politique de développement des médicaments hybrides proposée. Alors que les génériques sont quasi-identiques au princeps (indications, forme pharmaceutique, voie d'administration, excipients à effet notoire), le projet de loi prévoit que les hybrides pourront comporter « des différences relatives aux indications thérapeutiques, au dosage, à la forme pharmaceutique ou à la voie d'administration ». Les hybrides pourront également être des spécialités dont « la bioéquivalence » par rapport au princeps « n'a pu être démontrée par des études de biodisponibilité ». Or, modifier un dosage ou une forme galénique est loin d'être anodin : cela peut impacter l'efficacité ou la tolérance du produit, comme l'a malheureusement récemment très clairement démontré le changement de formule du Levothyrox préconisé par l'ANSM. Les patients qui refuseraient d'utiliser ces hybrides à moindres garanties pour leur santé seront pénalisés financièrement puisqu'ils seront remboursés sur la base du générique. Pourtant, il est légitime de douter de ces produits, en dépit du système d'encadrement du droit de substitution qui serait confié à l'ANSM, seule précision donnée en ce domaine par l'étude d'impact. En effet, malgré le choix fait par le médecin du médicament dont il a estimé les caractéristiques les plus adaptées à son patient, le pharmacien aura le pouvoir de lui substituer une spécialité ayant fait l'objet d'une évaluation différente de son bénéfice/risques et n'ayant pas reçu la même Autorisation de Mise sur le Marché. Telles sont les raisons pour lesquelles, en l'absence de réflexion médicale préalable sur un sujet de santé publique majeur pour la vie quotidienne de nos concitoyens, il vous est demandé par le vote de cet amendement, de supprimer l'ensemble des dispositions de cet article relatives aux médicaments hybrides.  I. – À l'alinéa 24, supprimer les mots : « ou hybrides ». II. – En conséquence, au même alinéa, supprimer les mots : « ou hybride ». III. – En conséquence, procéder à la même suppression à l'alinéa 25 et à la fin de l'alinéa 26. IV. – En conséquence, à l'alinéa 28, supprimer les mots : « ou hybrides ».","hybrides
médicaments hybrides
médicaments
forme
dosage","médicaments hybrides
forme pharmaceutique
article relatives
santé publique
hybrides","médicaments hybrides
forme pharmaceutique
article relatives
santé publique
hybrides"
"La tension sur les effectifs médicaux hospitaliers n'a jamais été aussi forte. Elle justifie du renforcement par la loi d'une participation équitable de tous les médecins à la prise en charge de la permanence de soins, en renforçant la participation des médecins libéraux à la PDSA afin de désengorger les services d'urgence hospitaliers. Les services d'urgence des hôpitaux pallient en effet souvent la garde libérale après minuit, et continuent d'accueillir des patients qui se présentent spontanément à leurs portes pour des cas qui ne relèvent pas de la médecine d'urgence. Cette participation assure que, même en cas de défaillance de la garde libérale, une réponse peut toujours être apportée à la population. Dans une logique de permanence des soins de territoire, le présent amendement propose d'affirmer le principe de répartition équitable de la charge de participation à la permanence des soins, notamment dans le cadre des prises en charge en médecine ambulatoire afin de participer au désengorgement des services d'urgence en établissements de santé. I. – À la première phrase du premier alinéa du I de l'article L. 1435‑5 du code de la santé publique, les mots : « , dans » sont remplacés par les mots : « équitablement entre professionnels exerçant en établissements publics de santé et professionnels libéraux et selon ». II. – La perte de recettes pour l'État est compensée à due concurrence par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts. III. – La perte de recettes pour les collectivités territoriales est compensée à due concurrence par la majoration de la dotation globale de fonctionnement et, corrélativement pour l'État, par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts. IV. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts.","urgence
participation
permanence
services
garde","due concurrence
droits mentionnés
code général
taxe additionnelle
garde libérale","article L. 1435‑5
effectifs médicaux hospitaliers
due concurrence
code général
garde libérale"
